Chiller Loading Chiller,Consumption Chiller Actual,Consumption Chiller Predicted,Consumption Chiller error,Consumption Chiller abs error
81.4,116.553208,116.56108,0.006754797016989509,0.006754797016989509
58.06666667,70.02171911707401,70.0176,-0.0058811807855424884,0.0058811807855424884
67.33333333,87.35427777127123,87.35411,-0.0001912367683101469,0.0001912367683101469
58.46666667,70.73867645043083,70.730774,-0.011171434137756151,0.011171434137756151
52.0,59.4931,59.493637,0.0009027684906975475,0.0009027684906975475
40.8,41.757451999999994,41.74262,-0.03552285519954127,0.03552285519954127
34.13333333,32.24869643988562,32.245693,-0.009312727117851392,0.009312727117851392
50.0,56.1641,56.162186,-0.003408460305934204,0.003408460305934204
60.66666667,74.73227778389322,74.73355,0.001703737039948035,0.001703737039948035
69.85714286,92.33672245468354,92.36567,0.03134916968592728,0.03134916968592728
55.66666667,65.77911111693322,65.781425,0.0035183800779582555,0.0035183800779582555
25.46666667,21.056736448494817,21.056515,-0.0010529100989847614,0.0010529100989847614
61.0,75.3448,75.34404,-0.0010088061920914709,0.0010088061920914709
57.93333333,69.78335910515602,69.78524,0.0026955827405582776,0.0026955827405582776
32.66666667,30.26174444891722,30.259317,-0.008020194771084385,0.008020194771084385
55.86666667,66.12878978361162,66.12782,-0.0014621583703926932,0.0014621583703926932
48.86666667,54.308916449867624,54.30634,-0.004745419573943031,0.004745419573943031
52.33333333,60.054777772151226,60.06031,0.009212575291337925,0.009212575291337925
60.13333333,73.75630977169362,73.76265,0.00859555536172298,0.00859555536172298
58.6,70.978288,70.982086,0.005351188014873979,0.005351188014873979
33.8,31.793791999999996,31.779196,-0.04590900788913554,0.04590900788913554
40.6,41.460808,41.461246,0.001057602347053918,0.001057602347053918
68.33333333,89.31504443787922,89.31362,-0.0015931435651010686,0.0015931435651010686
52.13333333,59.71753643882962,59.713448,-0.00684701391361968,0.00684701391361968
69.33333333,91.29341110448722,91.28989,-0.0038607713691523908,0.0038607713691523908
55.93333333,66.24550577194003,66.23788,-0.011516071560312839,0.011516071560312839
58.13333333,70.14101643847762,70.14596,0.007045105062110352,0.007045105062110352
36.53333333,35.581736439744816,35.58136,-0.0010583420070114653,0.0010583420070114653
68.4,89.446388,89.44295,-0.0038465637144413215,0.0038465637144413215
56.13333333,66.59612310526163,66.594315,-0.0027156686935882733,0.0027156686935882733
40.93333333,41.95560577282003,41.96177,0.014690125599069162,0.014690125599069162
63.13333333,79.31124977151761,79.313126,0.0023651611081119727,0.0023651611081119727
60.06666667,73.63466578385801,73.62853,-0.008329465646039796,0.008329465646039796
74.8,102.419572,102.42068,0.0010790760369428936,0.0010790760369428936
54.33333333,63.465911105367226,63.445774,-0.03172888665326772,0.03172888665326772
51.66666667,58.933377783365216,58.94082,0.012626127223234956,0.012626127223234956
49.0,54.525999999999996,54.525642,-0.0006558430482063572,0.0006558430482063572
50.33333333,56.71404443893522,56.716335,0.004039312869156559,0.004039312869156559
30.93333333,27.962339106740018,27.961105,-0.004412220507092285,0.004412220507092285
78.73333333,110.75034577060241,110.74962,-0.0006566483597954265,0.0006566483597954265
62.6,78.312128,78.31145,-0.0008694137966903328,0.0008694137966903328
25.0,20.4916,20.491232,-0.0017962563442450719,0.0017962563442450719
64.66666667,82.21161111746122,82.209656,-0.0023784423098988333,0.0023784423098988333
62.4,77.93874799999999,77.93852,-0.00028953651244462104,0.00028953651244462104
55.86666667,66.12878978361162,66.12782,-0.0014621583703926932,0.0014621583703926932
60.46666667,74.36570311721482,74.36972,0.0054021431939156655,0.0054021431939156655
29.53333333,26.143729773488822,26.14692,0.01219977802361497,0.01219977802361497
78.46666667,110.17694311827081,110.17299,-0.003588978380899533,0.003588978380899533
48.15384615,53.15366212396825,53.127865,-0.0485334129219597,0.0485334129219597
33.0,30.71,30.71316,0.010288378890347475,0.010288378890347475
52.66666667,60.618411116757215,60.61789,-0.0008606501733204856,0.0008606501733204856
59.46666667,72.54338978382283,72.54689,0.004825353456272086,0.004825353456272086
24.86666667,20.33083644845962,20.328148,-0.013224051469023916,0.013224051469023916
58.93333333,71.57868577176403,71.58585,0.010013881672796746,0.010013881672796746
69.6,91.82394799999999,91.8227,-0.001358577515863287,0.001358577515863287
47.0,51.3026,51.300884,-0.0033443785964577403,0.0033443785964577403
78.66666667,110.60687778494922,110.598564,-0.007516383399018442,0.007516383399018442
36.06666667,34.92570578245002,34.92322,-0.007112796318919992,0.007112796318919992
43.8,46.291591999999994,46.286396,-0.011224443066607378,0.011224443066607378
59.93333333,73.39161243837204,73.38684,-0.006501584991803591,0.006501584991803591
66.46666667,85.6691831175668,85.67492,0.006695535830304581,0.006695535830304581
58.4,70.61898799999999,70.617516,-0.0020850426731457657,0.0020850426731457657
47.33333333,51.83494443911122,51.836056,0.002143952339567323,0.002143952339567323
20.0,14.6771,14.677408,0.0020999951202192086,0.0020999951202192086
62.13333333,77.44200310490962,77.441536,-0.0006032323336892468,0.0006032323336892468
44.33333333,47.11424443928722,47.119698,0.011574273509976444,0.011574273509976444
52.2,59.829872,59.83568,0.009704350672747187,0.009704350672747187
32.4,29.904548,29.904976,0.0014308563141730037,0.0014308563141730037
25.46666667,21.056736448494817,21.056515,-0.0010529100989847614,0.0010529100989847614
69.4,91.42592800000001,91.43347,0.008251138219222465,0.008251138219222465
23.13333333,18.26938310719762,18.270828,0.007910173344189177,0.007910173344189177
64.33333333,81.57757777144722,81.57021,-0.009027546266160372,0.009027546266160372
31.73333333,29.017032440026426,29.014948,-0.007183880003522794,0.007183880003522794
